region_type,region_id,parent_id,color,local_x,local_y,global_x,global_y,bbox_local,bbox,density_multiplier
ocean,ter-000001-prv-000001,ter-000001,#291f95,190.77,14.13,1052.77,14.13,"[0, 0, 309, 52]","[862, 0, 1171, 52]",1.0
ocean,ter-000001-prv-000002,ter-000001,#05027d,379.38,50.92,1241.38,50.92,"[300, 0, 465, 114]","[1162, 0, 1327, 114]",1.0
ocean,ter-000002-prv-000001,ter-000002,#1005b0,28.01,3.19,1055.01,3.19,"[0, 0, 62, 9]","[1027, 0, 1089, 9]",0.4
land,ter-000003-prv-000001,ter-000003,#4a8377,19.54,1.72,1335.54,1.72,"[0, 0, 37, 5]","[1316, 0, 1353, 5]",0.4
ocean,ter-000004-prv-000001,ter-000004,#212e90,105.02,47.32,1426.02,47.32,"[0, 0, 238, 122]","[1321, 0, 1559, 122]",0.25
land,ter-000005-prv-000001,ter-000005,#23089a,15.78,2.13,1407.78,2.13,"[0, 0, 33, 6]","[1392, 0, 1425, 6]",0.4
land,ter-000006-prv-000001,ter-000006,#d00dd5,39.39,2.88,1468.39,2.88,"[0, 0, 81, 8]","[1429, 0, 1510, 8]",0.25
land,ter-000007-prv-000001,ter-000007,#a4dbf3,23.53,2.66,1536.53,2.66,"[0, 0, 48, 8]","[1513, 0, 1561, 8]",0.25
land,ter-000010-prv-000001,ter-000010,#13279f,44.02,11.57,3705.02,11.57,"[0, 0, 99, 29]","[3661, 0, 3760, 29]",0.4
land,ter-000011-prv-000001,ter-000011,#93dd1c,79.45,49.85,2002.45,49.85,"[40, 18, 109, 76]","[1963, 18, 2032, 76]",0.654296875
land,ter-000011-prv-000002,ter-000011,#5aa27b,45.04,21.68,1968.04,21.68,"[0, 0, 83, 56]","[1923, 0, 2006, 56]",0.654296875
land,ter-000011-prv-000003,ter-000011,#e8ef01,120.76,32.3,2043.76,32.3,"[91, 18, 154, 58]","[2014, 18, 2077, 58]",0.654296875
land,ter-000011-prv-000004,ter-000011,#e09847,115.36,10.17,2038.36,10.17,"[81, 0, 154, 25]","[2004, 0, 2077, 25]",0.654296875
ocean,ter-000009-prv-000001,ter-000009,#0a2dab,357.41,40.05,582.41,40.05,"[250, 0, 455, 95]","[475, 0, 680, 95]",0.5078125
ocean,ter-000009-prv-000002,ter-000009,#190eb0,542.31,40.06,767.31,40.06,"[455, 0, 651, 95]","[680, 0, 876, 95]",0.5078125
ocean,ter-000009-prv-000003,ter-000009,#153975,128.98,32.96,353.98,32.96,"[0, 0, 252, 88]","[225, 0, 477, 88]",0.5078125
land,ter-000012-prv-000001,ter-000012,#17826a,80.96,117.51,2063.96,147.51,"[56, 93, 108, 149]","[2039, 123, 2091, 179]",0.654296875
land,ter-000012-prv-000002,ter-000012,#d19de6,88.1,73.31,2071.1,103.31,"[63, 50, 108, 101]","[2046, 80, 2091, 131]",0.654296875
land,ter-000012-prv-000003,ter-000012,#083bdc,37.46,128.28,2020.46,158.28,"[0, 104, 67, 159]","[1983, 134, 2050, 189]",0.654296875
land,ter-000012-prv-000004,ter-000012,#1c725e,44.86,90.35,2027.86,120.35,"[2, 68, 70, 112]","[1985, 98, 2053, 142]",0.654296875
land,ter-000012-prv-000005,ter-000012,#07bae5,85.87,26.59,2068.87,56.59,"[58, 0, 108, 51]","[2041, 30, 2091, 81]",0.654296875
land,ter-000012-prv-000006,ter-000012,#7f88c5,51.24,47.88,2034.24,77.88,"[9, 20, 76, 70]","[1992, 50, 2059, 100]",0.654296875
ocean,ter-000008-prv-000001,ter-000008,#0e2b8f,195.26,286.61,195.26,286.61,"[92, 210, 350, 358]","[92, 210, 350, 358]",0.5078125
ocean,ter-000008-prv-000002,ter-000008,#211ca2,59.7,250.77,59.7,250.77,"[0, 135, 142, 373]","[0, 135, 142, 373]",0.5078125
ocean,ter-000008-prv-000003,ter-000008,#3242a0,209.81,195.13,209.81,195.13,"[126, 139, 356, 261]","[126, 139, 356, 261]",0.5078125
ocean,ter-000008-prv-000004,ter-000008,#294789,132.07,55.03,132.07,55.03,"[78, 0, 191, 136]","[78, 0, 191, 136]",0.5078125
ocean,ter-000008-prv-000005,ter-000008,#301580,49.79,57.41,49.79,57.41,"[0, 0, 108, 129]","[0, 0, 108, 129]",0.5078125
ocean,ter-000008-prv-000006,ter-000008,#140a87,204.53,80.99,204.53,80.99,"[119, 0, 284, 154]","[119, 0, 284, 154]",0.5078125
