region_id,region_type,color,pixel_count,parent_id,local_bbox_min_x,local_bbox_min_y,local_bbox_max_x,local_bbox_max_y,local_center_x,local_center_y,local_seed_x,local_seed_y,global_bbox_min_x,global_bbox_min_y,global_bbox_max_x,global_bbox_max_y,global_center_x,global_center_y,global_seed_x,global_seed_y
TRT000001-TEMP000001,ocean,#1e1a73,254,TRT000001,0,0,61,8,28,3,28,3,1027,0,1088,8,1055,3,1055,3
TRT000002-TEMP000001,land,#f5eadc,82,TRT000002,0,0,36,4,20,2,20,2,1316,0,1352,4,1336,2,1336,2
TRT000003-TEMP000001,land,#9aa31e,98,TRT000003,0,0,32,5,16,2,16,2,1392,0,1424,5,1408,2,1408,2
TRT000004-TEMP000001,land,#bcc880,374,TRT000004,0,0,80,7,39,3,39,3,1429,0,1509,7,1468,3,1468,3
TRT000005-TEMP000001,land,#f50bfa,199,TRT000005,0,0,47,7,23,3,23,3,1513,0,1560,7,1536,3,1536,3
TRT000006-TEMP000001,land,#16fa50,776,TRT000006,0,0,98,28,44,12,44,12,3661,0,3759,28,3705,12,3705,12
TRT000007-TEMP000001,ocean,#3b3066,50,TRT000007,0,0,24,10,11,6,11,6,2491,0,2515,10,2502,6,2502,6
TRT000008-TEMP000001,land,#fc032a,1491,TRT000008,58,14,107,63,81,36,80,37,2145,130,2194,179,2168,152,2167,153
TRT000008-TEMP000002,land,#b82fa5,1024,TRT000008,39,45,82,89,58,66,57,69,2126,161,2169,205,2145,182,2144,185
TRT000008-TEMP000003,land,#69295d,1271,TRT000008,30,1,69,46,47,23,46,24,2117,117,2156,162,2134,139,2133,140
TRT000008-TEMP000004,land,#ed47c6,1029,TRT000008,9,39,50,80,30,58,30,58,2096,155,2137,196,2117,174,2117,174
TRT000008-TEMP000005,land,#050a1c,875,TRT000008,26,77,64,117,44,95,44,96,2113,193,2151,233,2131,211,2131,212
TRT000008-TEMP000006,land,#dd22a8,990,TRT000008,0,0,31,47,18,25,17,26,2087,116,2118,163,2105,141,2104,142
TRT000009-TEMP000001,land,#46a920,1354,TRT000009,26,48,80,91,50,66,50,66,2009,146,2063,189,2033,164,2033,164
TRT000009-TEMP000002,land,#3e54ea,1609,TRT000009,29,0,95,57,59,32,59,32,2012,98,2078,155,2042,130,2042,130
TRT000009-TEMP000003,land,#ecb8bf,1108,TRT000009,0,5,43,65,25,41,24,41,1983,103,2026,163,2008,139,2007,139
TRT000010-TEMP000001,land,#bfaa68,1433,TRT000010,3,0,55,45,33,24,32,26,2019,41,2071,86,2049,65,2048,67
TRT000010-TEMP000002,land,#cf2118,1336,TRT000010,37,53,78,99,58,77,59,74,2053,94,2094,140,2074,118,2075,115
TRT000010-TEMP000003,land,#b857f3,1230,TRT000010,0,36,49,80,25,56,26,59,2016,77,2065,121,2041,97,2042,100
TRT000010-TEMP000004,land,#9ad066,936,TRT000010,69,42,97,90,84,65,85,66,2085,83,2113,131,2100,106,2101,107
TRT000010-TEMP000005,land,#9d19c3,1252,TRT000010,47,12,93,56,67,36,68,35,2063,53,2109,97,2083,77,2084,76
TRT000011-TEMP000001,land,#40392f,1142,TRT000011,57,39,98,92,76,67,75,67,2086,180,2127,233,2105,208,2104,208
TRT000011-TEMP000002,land,#97aa83,1075,TRT000011,20,41,62,79,44,61,43,61,2049,182,2091,220,2073,202,2072,202
TRT000011-TEMP000003,land,#d305ff,975,TRT000011,0,21,42,66,22,44,23,42,2029,162,2071,207,2051,185,2052,183
TRT000011-TEMP000004,land,#8de4aa,1252,TRT000011,30,0,74,45,53,25,53,24,2059,141,2103,186,2082,166,2082,165
TRT000012-TEMP000001,land,#ddeacc,1018,TRT000012,50,82,84,125,71,103,71,105,2160,97,2194,140,2181,118,2181,120
TRT000012-TEMP000002,land,#4c73e7,1276,TRT000012,7,71,62,114,39,94,43,92,2117,86,2172,129,2149,109,2153,107
TRT000012-TEMP000003,land,#84fa3e,1596,TRT000012,0,38,42,101,20,68,21,67,2110,53,2152,116,2130,83,2131,82
TRT000012-TEMP000004,land,#48b6f0,1208,TRT000012,26,0,67,50,51,30,52,29,2136,15,2177,65,2161,45,2162,44
TRT000012-TEMP000005,land,#421bfd,1150,TRT000012,41,45,82,85,60,65,62,64,2151,60,2192,100,2170,80,2172,79
TRT000013-TEMP000001,land,#7d7ef6,1159,TRT000013,43,0,80,42,61,20,61,20,1966,0,2003,42,1984,20,1984,20
TRT000013-TEMP000002,land,#b9fc1a,897,TRT000013,71,0,110,31,90,13,90,11,1994,0,2033,31,2013,13,2013,11
TRT000013-TEMP000003,land,#1f9385,1716,TRT000013,40,31,118,79,87,55,92,51,1963,31,2041,79,2010,55,2015,51
TRT000013-TEMP000004,land,#a40dec,1059,TRT000013,98,0,128,49,115,24,116,23,2021,0,2051,49,2038,24,2039,23
TRT000013-TEMP000005,land,#9149fa,858,TRT000013,21,29,69,55,44,44,47,49,1944,29,1992,55,1967,44,1970,49
TRT000013-TEMP000006,land,#603431,976,TRT000013,0,0,48,36,28,12,28,12,1923,0,1971,36,1951,12,1951,12
TRT000014-TEMP000001,land,#33d7dc,1035,TRT000014,62,26,102,74,78,44,81,42,2112,26,2152,74,2128,44,2131,42
TRT000014-TEMP000002,land,#f66036,902,TRT000014,94,0,127,34,109,14,111,13,2144,0,2177,34,2159,14,2161,13
TRT000014-TEMP000003,land,#4f8621,1725,TRT000014,23,8,65,76,48,43,49,39,2073,8,2115,76,2098,43,2099,39
TRT000014-TEMP000004,land,#2cc49b,1711,TRT000014,0,0,45,52,20,20,18,22,2050,0,2095,52,2070,20,2068,22
TRT000014-TEMP000005,land,#f8bc0f,1117,TRT000014,46,0,94,27,73,12,77,11,2096,0,2144,27,2123,12,2127,11
TRT000015-TEMP000001,land,#9b924f,910,TRT000015,0,0,52,26,27,9,27,10,2177,0,2229,26,2204,9,2204,10
TRT000015-TEMP000002,land,#bcc875,833,TRT000015,1,10,37,48,19,29,17,29,2178,10,2214,48,2196,29,2194,29
TRT000015-TEMP000003,land,#60e1f2,1681,TRT000015,37,0,78,58,57,29,57,28,2214,0,2255,58,2234,29,2234,28
TRT000015-TEMP000004,land,#d8e7d5,1492,TRT000015,62,33,117,73,91,51,91,51,2239,33,2294,73,2268,51,2268,51
TRT000015-TEMP000005,land,#ec1876,1166,TRT000015,68,0,109,33,91,15,94,15,2245,0,2286,33,2268,15,2271,15
TRT000015-TEMP000006,land,#f5c5aa,962,TRT000015,108,0,141,42,122,16,123,16,2285,0,2318,42,2299,16,2300,16
TRT000016-TEMP000001,land,#ef72e3,1468,TRT000016,42,71,125,99,75,83,75,82,2373,71,2456,99,2406,83,2406,82
TRT000016-TEMP000002,land,#c0007c,1249,TRT000016,15,28,55,79,39,49,37,48,2346,28,2386,79,2370,49,2368,48
TRT000016-TEMP000003,land,#f5691d,1116,TRT000016,56,32,114,68,76,48,74,47,2387,32,2445,68,2407,48,2405,47
TRT000016-TEMP000004,land,#f40603,1346,TRT000016,0,0,48,35,26,15,29,14,2331,0,2379,35,2357,15,2360,14
TRT000016-TEMP000005,land,#161015,962,TRT000016,48,0,82,32,65,13,67,13,2379,0,2413,32,2396,13,2398,13
TRT000017-TEMP000001,land,#4caa78,1292,TRT000017,9,32,52,74,33,54,36,53,2285,32,2328,74,2309,54,2312,53
TRT000017-TEMP000002,land,#db9c66,1367,TRT000017,0,64,35,124,18,91,17,91,2276,64,2311,124,2294,91,2293,91
TRT000017-TEMP000003,land,#d7aa12,1132,TRT000017,33,69,66,109,49,89,49,89,2309,69,2342,109,2325,89,2325,89
TRT000017-TEMP000004,land,#e40985,983,TRT000017,28,0,67,40,49,22,49,21,2304,0,2343,40,2325,22,2325,21
TRT000017-TEMP000005,land,#6eb566,973,TRT000017,52,33,86,75,66,56,68,55,2328,33,2362,75,2342,56,2344,55
TRT000017-TEMP000006,land,#46e740,1118,TRT000017,66,66,109,105,83,88,82,87,2342,66,2385,105,2359,88,2358,87
TRT000018-TEMP000001,land,#54a457,1265,TRT000018,33,18,76,60,54,41,56,42,2211,52,2254,94,2232,75,2234,76
