region_id,region_type,color,pixel_count,parent_id,local_bbox_min_x,local_bbox_min_y,local_bbox_max_x,local_bbox_max_y,local_center_x,local_center_y,local_seed_x,local_seed_y,global_bbox_min_x,global_bbox_min_y,global_bbox_max_x,global_bbox_max_y,global_center_x,global_center_y,global_seed_x,global_seed_y
TRT000001,land,#b2639d,5476,DST000001,5,70,117,146,63,109,65,111,790,238,902,314,848,277,850,279
TRT000002,land,#170752,7757,DST000001,99,92,195,201,148,149,148,149,884,260,980,369,933,317,933,317
TRT000003,land,#700c49,7107,DST000001,82,1,178,106,126,56,124,55,867,169,963,274,911,224,909,223
TRT000004,land,#96ea1b,4667,DST000001,15,127,106,195,58,163,56,164,800,295,891,363,843,331,841,332
TRT000005,land,#d0b962,5690,DST000001,0,0,90,97,45,46,42,47,785,168,875,265,830,214,827,215
TRT000006,land,#4812f5,7144,DST000002,0,65,94,180,45,127,45,125,958,364,1052,479,1003,426,1003,424
TRT000007,land,#88ed85,5968,DST000002,76,98,164,188,125,149,132,153,1034,397,1122,487,1083,448,1090,452
TRT000008,land,#15b099,7966,DST000002,6,13,132,113,75,61,82,65,964,312,1090,412,1033,360,1040,364
TRT000009,land,#1af5f3,3959,DST000002,165,113,220,196,193,154,196,153,1123,412,1178,495,1151,453,1154,452
TRT000010,land,#0fa299,5182,DST000002,127,41,220,123,177,87,180,86,1085,340,1178,422,1135,386,1138,385
TRT000011,land,#40bb09,5128,DST000002,104,0,212,72,158,31,158,30,1062,299,1170,371,1116,330,1116,329
TRT000012,land,#4a8377,4948,DST000003,5,31,89,121,39,77,36,73,846,31,930,121,880,77,877,73
TRT000013,land,#0da3c1,6618,DST000003,82,79,173,182,130,119,129,118,923,79,1014,182,971,119,970,118
TRT000014,land,#3c5cb4,5791,DST000003,87,0,170,80,129,41,130,41,928,0,1011,80,970,41,971,41
TRT000015,land,#ab97af,6287,DST000003,8,98,113,189,59,146,59,144,849,98,954,189,900,146,900,144
TRT000016,land,#0691a7,4489,DST000003,0,0,101,65,55,24,58,24,841,0,942,65,896,24,899,24
TRT000017,land,#90958f,7244,DST000004,8,0,128,89,80,38,84,34,759,356,879,445,831,394,835,390
TRT000018,land,#2d2df9,5064,DST000004,126,8,218,70,168,40,170,43,877,364,969,426,919,396,921,399
TRT000019,land,#907395,6736,DST000004,51,82,153,182,108,144,113,142,802,438,904,538,859,500,864,498
TRT000020,land,#2775e0,8060,DST000004,0,42,95,185,40,109,43,106,751,398,846,541,791,465,794,462
TRT000021,land,#13e532,3890,DST000004,153,97,227,180,187,143,193,140,904,453,978,536,938,499,944,496
TRT000022,land,#b47bea,4665,DST000004,115,69,227,132,169,93,169,96,866,425,978,488,920,449,920,452
TRT000023,land,#23089a,6815,DST000005,56,132,184,200,123,171,114,173,1227,401,1355,469,1294,440,1285,442
TRT000024,land,#81f428,4759,DST000005,47,58,132,142,96,103,96,102,1218,327,1303,411,1267,372,1267,371
TRT000025,land,#6b3cbc,7386,DST000005,123,23,200,161,163,90,163,95,1294,292,1371,430,1334,359,1334,364
TRT000026,land,#afdcae,6740,DST000005,0,73,78,199,34,142,31,140,1171,342,1249,468,1205,411,1202,409
TRT000027,land,#59f430,7211,DST000005,0,0,141,92,71,48,70,48,1171,269,1312,361,1242,317,1241,317
TRT000028,land,#2b91e4,6507,DST000009,34,93,132,205,87,158,87,154,702,93,800,205,755,158,755,154
TRT000029,land,#6e2df5,7053,DST000009,95,0,178,95,139,47,141,48,763,0,846,95,807,47,809,48
TRT000030,land,#5ab938,7430,DST000009,11,0,107,94,60,41,62,41,679,0,775,94,728,41,730,41
TRT000031,land,#cc516c,5993,DST000009,0,67,81,184,32,121,30,120,668,67,749,184,700,121,698,120
TRT000032,land,#b6224f,5848,DST000009,101,91,180,190,147,134,148,136,769,91,848,190,815,134,816,136
TRT000033,land,#a4dbf3,5910,DST000007,136,79,217,178,184,127,184,125,1085,553,1166,652,1133,601,1133,599
TRT000034,land,#61de59,7150,DST000007,115,11,214,96,164,52,167,49,1064,485,1163,570,1113,526,1116,523
TRT000035,land,#1240e5,7073,DST000007,0,50,120,129,53,92,59,91,949,524,1069,603,1002,566,1008,565
TRT000036,land,#e857e1,5934,DST000007,83,89,169,199,122,149,122,151,1032,563,1118,673,1071,623,1071,625
TRT000037,land,#ef49d8,5932,DST000007,5,0,121,73,69,34,69,32,954,474,1070,547,1018,508,1018,506
TRT000038,land,#6241c9,4917,DST000007,14,125,99,210,57,167,55,167,963,599,1048,684,1006,641,1004,641
TRT000039,land,#d00dd5,5117,DST000006,89,95,172,178,131,132,135,133,1207,212,1290,295,1249,249,1253,250
TRT000040,land,#83f92d,5639,DST000006,50,0,127,111,89,53,92,58,1168,117,1245,228,1207,170,1210,175
TRT000041,land,#c9b758,6808,DST000006,9,106,105,200,55,151,58,154,1127,223,1223,317,1173,268,1176,271
TRT000042,land,#59097c,3905,DST000006,117,26,178,104,149,66,150,65,1235,143,1296,221,1267,183,1268,182
TRT000043,land,#a5a219,5750,DST000006,0,4,73,121,33,68,34,69,1118,121,1191,238,1151,185,1152,186
TRT000044,land,#3d8b8b,7124,DST000008,0,0,78,125,30,60,31,59,1171,0,1249,125,1201,60,1202,59
