province_id;R;G;B;province_type;x;y
prv-000001;121;131;193;land;2.99;6.61
prv-000002;214;66;27;land;918.19;14.51
prv-000003;207;21;45;land;1002.5;1.4
prv-000004;185;241;225;land;1025.85;1.57
prv-000005;171;206;5;land;1064.36;1.12
prv-000006;113;137;132;land;1086.37;5.98
prv-000007;241;160;175;land;1122.13;2.65
prv-000008;184;83;60;land;1154.03;2.04
prv-000009;107;222;246;land;1191.4;1.6
prv-000010;198;244;67;land;1262.98;1.95
prv-000011;34;32;204;land;1284.62;1.76
prv-000012;156;64;249;land;1336.62;1.23
prv-000013;229;221;209;land;1344.48;6.23
prv-000014;38;212;167;land;1396.36;7.55
prv-000015;238;177;180;land;1422.02;7.63
prv-000016;137;145;210;land;1468.64;2.46
prv-000017;189;216;27;land;1488.08;9.3
prv-000018;228;102;54;land;1535.47;2.36
prv-000019;150;107;91;land;1557.64;7.65
prv-000020;228;71;66;land;1572.09;4.77
prv-000021;77;199;98;land;1915.14;2.22
prv-000022;197;93;168;land;1943.56;4.66
prv-000023;9;177;108;land;1961.66;7.99
prv-000024;97;84;192;land;1987.41;6.95
prv-000025;129;41;218;land;2041.77;10.48
prv-000026;220;125;141;land;2057.35;9.44
prv-000027;0;178;54;land;2103.24;4.59
prv-000028;170;218;56;land;2129.23;4.37
prv-000029;239;12;153;land;2156.74;5.21
prv-000030;27;60;193;land;2191.39;6.3
prv-000031;140;231;126;land;2221.46;8.46
prv-000032;224;41;219;land;2270.21;7.7
prv-000033;225;113;97;land;2291.53;3.89
prv-000034;16;1;30;land;2331.2;4.12
prv-000035;26;86;211;land;2358.47;5.12
prv-000036;98;46;108;land;2379.04;13.15
prv-000037;40;180;161;land;2415.98;8.96
prv-000038;63;124;82;land;2452.26;7.48
prv-000039;250;128;59;land;2485.34;3.77
prv-000040;143;186;5;land;2509.55;0.95
prv-000041;170;244;212;land;2532.79;2.1
prv-000042;22;198;167;land;3111.07;12.0
prv-000043;129;166;102;land;3703.14;9.53
prv-000044;170;31;209;land;3728.99;4.2
prv-000045;236;146;187;land;3748.3;7.28
prv-000046;128;231;56;land;3773.83;0.17
prv-000047;24;189;139;land;4050.38;10.08
prv-000048;33;99;127;land;4093.0;1.09
prv-000049;10;92;218;land;4152.07;10.4
prv-000050;200;201;182;land;4166.03;13.45
prv-000051;98;241;239;land;4221.42;4.86
prv-000052;246;157;65;land;4243.74;8.54
prv-000053;193;2;173;land;4283.0;8.98
prv-000054;79;56;77;land;4318.17;5.58
prv-000055;246;213;186;land;4342.77;4.34
prv-000056;93;185;101;land;4380.15;4.65
prv-000057;16;175;209;land;4404.04;4.56
prv-000058;130;79;145;land;4453.18;6.47
prv-000059;201;150;190;land;4473.68;4.38
prv-000060;44;83;100;land;4497.34;7.68
prv-000061;108;95;192;land;4549.44;4.3
prv-000062;114;155;145;land;4575.12;2.37
prv-000063;116;143;235;land;4975.03;3.52
prv-000064;130;241;220;land;5009.6;3.75
prv-000065;44;12;152;land;5039.54;3.59
prv-000066;241;236;65;land;5063.58;1.65
prv-000067;200;106;143;land;5107.95;1.88
prv-000068;124;123;139;land;5131.33;4.31
prv-000069;13;148;172;land;5153.96;4.81
prv-000070;165;97;82;land;5625.73;4.79
prv-000071;243;64;120;land;8.52;11.35
prv-000072;243;214;153;land;881.09;17.0
prv-000073;209;126;200;land;898.62;21.4
prv-000074;50;228;95;land;935.04;22.61
prv-000075;169;54;51;land;952.96;21.33
prv-000076;144;206;120;land;986.58;23.88
prv-000077;15;201;162;land;1049.85;7.85
prv-000078;187;107;48;land;1058.75;10.75
prv-000079;27;235;227;land;1074.88;10.84
prv-000080;232;188;0;land;1164.86;26.07
prv-000081;14;111;10;land;1175.09;24.09
prv-000082;183;255;167;land;1257.83;25.31
prv-000083;191;81;141;land;1282.06;21.58
prv-000084;167;187;44;land;1327.23;10.88
prv-000085;182;11;238;land;1340.67;21.43
prv-000086;245;157;47;land;1367.87;24.23
prv-000087;157;146;4;land;1397.13;21.69
prv-000088;128;52;240;land;1457.29;29.73
prv-000089;219;147;64;land;1460.15;9.77
prv-000090;167;95;24;land;1506.33;8.52
prv-000091;188;72;91;land;1534.47;9.5
prv-000092;114;153;245;land;1567.44;27.41
prv-000093;244;252;160;land;1949.42;16.91
prv-000094;11;61;249;land;1971.66;15.74
prv-000095;115;138;14;land;2006.59;12.16
prv-000096;211;186;208;land;2030.94;17.09
prv-000097;35;172;24;land;2076.56;16.17
prv-000098;85;241;188;land;2106.04;19.8
prv-000099;245;129;193;land;2123.55;17.41
prv-000100;196;213;31;land;2165.42;15.57
prv-000101;79;241;178;land;2187.09;20.7
prv-000102;113;40;138;land;2242.13;12.32
prv-000103;141;80;19;land;2259.22;12.98
prv-000104;180;214;87;land;2287.33;21.78
prv-000105;71;163;253;land;2334.74;15.91
prv-000106;140;251;110;land;2352.27;17.57
prv-000107;26;166;233;land;2400.04;14.28
prv-000108;1;219;244;land;2435.17;10.06
prv-000109;142;139;84;land;2464.32;10.8
prv-000110;153;238;162;land;2483.89;18.01
prv-000111;121;39;185;land;2508.61;13.02
prv-000112;49;29;198;land;3114.0;13.17
prv-000113;73;18;194;land;3678.14;17.96
prv-000114;41;186;228;land;3697.48;20.28
prv-000115;160;179;62;land;3726.57;16.07
prv-000116;60;44;128;land;4054.43;10.71
prv-000117;33;224;69;land;4100.77;17.54
prv-000118;100;238;163;land;4112.41;17.93
prv-000119;109;244;152;land;4167.13;23.13
prv-000120;83;218;63;land;4170.06;17.44
prv-000121;69;162;97;land;4218.12;17.07
prv-000122;221;211;44;land;4253.88;13.54
prv-000123;3;174;151;land;4265.94;12.3
prv-000124;225;201;212;land;4309.97;12.82
prv-000125;115;218;26;land;4348.88;18.73
prv-000126;77;1;23;land;4373.76;16.4
prv-000127;130;15;154;land;4402.48;18.18
prv-000128;181;168;188;land;4430.44;13.3
prv-000129;142;98;47;land;4479.97;15.16
prv-000130;185;116;94;land;4509.55;13.23
prv-000131;119;165;78;land;4526.89;8.11
prv-000132;219;36;40;land;4574.22;25.68
prv-000133;133;249;10;land;4621.5;14.5
prv-000134;200;247;104;land;4623.5;14.5
prv-000135;122;140;225;land;4752.4;23.5
prv-000136;252;32;158;land;4758.9;23.83
prv-000137;125;219;60;land;4931.77;18.34
prv-000138;164;146;184;land;5006.31;17.92
prv-000139;113;106;195;land;5031.3;22.9
prv-000140;160;170;179;land;5624.55;16.53
prv-000141;100;188;193;land;5.03;24.64
prv-000142;4;5;135;land;875.9;34.77
prv-000143;236;105;172;land;886.84;29.53
prv-000144;80;202;80;land;916.62;26.38
prv-000145;134;153;15;land;953.27;36.25
prv-000146;224;204;121;land;995.04;37.43
prv-000147;14;253;114;land;1033.39;32.03
prv-000148;24;163;113;land;1054.4;40.05
prv-000149;79;20;210;land;1101.41;37.59
prv-000150;133;1;147;land;1135.73;34.51
prv-000151;186;125;249;land;1154.31;35.76
prv-000152;175;55;92;land;1179.18;40.37
prv-000153;178;239;158;land;1236.82;28.18
prv-000154;77;149;145;land;1255.78;32.97
prv-000155;29;79;249;land;1271.1;30.35
prv-000156;249;35;16;land;1328.2;26.52
prv-000157;9;67;215;land;1346.07;28.67
prv-000158;107;248;15;land;1392.68;27.54
prv-000159;224;207;111;land;1428.51;33.24
prv-000160;15;141;101;land;1442.35;31.23
prv-000161;253;119;154;land;1472.12;28.66
prv-000162;136;18;228;land;1508.49;32.35
prv-000163;114;206;11;land;1542.22;30.82
prv-000164;143;18;30;land;1588.73;28.01
prv-000165;149;118;226;land;1610.33;29.34
prv-000166;237;183;13;land;1622.16;34.26
prv-000167;196;29;254;land;1944.11;25.78
prv-000168;99;69;28;land;1975.73;29.98
prv-000169;231;121;141;land;2001.62;33.01
prv-000170;203;201;159;land;2020.82;23.24
prv-000171;204;26;182;land;2060.58;27.15
prv-000172;85;43;191;land;2090.89;29.39
prv-000173;213;17;190;land;2137.98;24.64
prv-000174;90;235;11;land;2161.3;28.49
prv-000175;191;144;10;land;2193.54;28.89
prv-000176;56;232;158;land;2219.23;26.98
prv-000177;176;124;94;land;2260.24;26.93
prv-000178;143;194;32;land;2304.96;27.59
prv-000179;251;235;35;land;2322.07;24.19
prv-000180;61;147;146;land;2352.36;30.02
prv-000181;178;201;231;land;2404.05;29.81
prv-000182;201;42;11;land;2448.91;36.2
prv-000183;248;243;230;land;2453.92;22.78
prv-000184;92;4;83;land;2481.99;26.32
prv-000185;72;56;230;land;3652.62;35.78
prv-000186;2;140;12;land;3667.55;30.65
prv-000187;146;65;150;land;3683.9;29.52
prv-000188;109;24;232;land;3708.73;25.98
prv-000189;102;124;225;land;3905.36;34.09
prv-000190;77;136;10;land;3919.78;33.08
prv-000191;27;248;38;land;3975.65;34.69
prv-000192;211;168;11;land;3997.21;27.03
prv-000193;161;129;213;land;4006.45;32.45
prv-000194;240;221;59;land;4074.04;34.36
prv-000195;67;8;42;land;4091.68;30.96
prv-000196;65;225;91;land;4124.89;32.89
prv-000197;239;239;214;land;4149.71;30.83
prv-000198;102;204;232;land;4193.23;24.51
prv-000199;108;172;233;land;4228.04;35.12
prv-000200;9;165;60;land;4245.38;30.88
prv-000201;76;253;34;land;4270.54;28.09
prv-000202;47;88;109;land;4306.05;25.1
prv-000203;81;199;241;land;4329.97;28.74
prv-000204;189;137;229;land;4377.34;28.64
prv-000205;138;232;135;land;4419.84;35.51
prv-000206;137;220;178;land;4454.56;29.64
prv-000207;27;70;65;land;4468.21;23.12
prv-000208;228;244;216;land;4502.27;33.22
prv-000209;179;72;154;land;4552.24;29.61
prv-000210;68;184;162;land;4582.17;34.78
prv-000211;40;114;18;land;4611.05;32.85
prv-000212;1;146;203;land;4629.84;33.49
prv-000213;44;166;109;land;4655.54;33.36
prv-000214;0;24;95;land;4689.98;38.46
prv-000215;221;233;52;land;4745.49;41.52
prv-000216;250;235;57;land;4760.55;29.81
prv-000217;189;219;253;land;4784.91;32.09
prv-000218;149;251;230;land;4813.39;34.72
prv-000219;38;176;173;land;5002.05;28.23
prv-000220;202;228;144;land;5022.98;27.94
prv-000221;91;116;124;land;5043.34;29.49
prv-000222;104;96;88;land;5626.06;30.75
prv-000223;87;227;133;land;5.44;41.37
prv-000224;211;138;130;land;868.99;43.47
prv-000225;220;154;143;land;891.13;40.55
prv-000226;228;172;214;land;929.46;39.59
prv-000227;104;127;65;land;976.83;35.22
prv-000228;168;169;147;land;991.07;46.48
prv-000229;137;225;88;land;1022.26;40.78
prv-000230;152;2;225;land;1073.18;46.74
prv-000231;52;140;29;land;1094.25;46.32
prv-000232;166;148;219;land;1109.83;49.92
prv-000233;25;24;19;land;1143.56;45.27
prv-000234;116;204;78;land;1166.74;45.49
prv-000235;172;127;254;land;1231.9;44.02
prv-000236;137;211;243;land;1243.78;39.63
prv-000237;200;122;52;land;1286.91;41.15
prv-000238;166;105;72;land;1332.39;35.66
prv-000239;212;3;63;land;1339.15;40.62
prv-000240;227;168;99;land;1363.57;39.01
prv-000241;114;56;34;land;1424.09;41.61
prv-000242;189;22;112;land;1439.77;41.31
prv-000243;230;120;166;land;1466.87;43.74
prv-000244;251;23;144;land;1528.3;43.06
prv-000245;252;104;108;land;1557.42;38.42
prv-000246;182;64;138;land;1583.52;35.31
prv-000247;79;194;64;land;1613.79;40.95
prv-000248;134;167;233;land;1624.95;48.1
prv-000249;181;242;254;land;1957.03;42.86
prv-000250;101;52;184;land;1963.52;46.99
prv-000251;24;141;250;land;1988.19;40.31
prv-000252;216;144;234;land;2037.24;39.01
prv-000253;149;65;108;land;2055.42;41.0
prv-000254;74;113;231;land;2108.28;37.24
prv-000255;45;206;236;land;2137.72;45.84
prv-000256;113;183;172;land;2162.94;38.25
prv-000257;193;191;111;land;2187.41;40.31
prv-000258;128;89;245;land;2233.77;44.99
prv-000259;51;153;44;land;2251.36;38.56
prv-000260;242;238;22;land;2301.96;46.93
prv-000261;122;87;144;land;2321.99;44.79
prv-000262;191;215;158;land;2359.85;42.38
prv-000263;215;86;33;land;2385.85;37.67
prv-000264;29;97;138;land;2412.32;42.75
prv-000265;191;80;174;land;2471.19;45.27
prv-000266;102;52;16;land;2470.86;37.14
prv-000267;146;148;237;land;3635.9;38.5
prv-000268;172;246;14;land;3670.38;39.31
prv-000269;237;79;141;land;3678.14;45.37
prv-000270;147;99;196;land;3898.65;45.07
prv-000271;252;200;172;land;3916.49;43.08
prv-000272;26;111;35;land;3937.85;45.14
prv-000273;35;49;100;land;3990.53;46.05
prv-000274;134;249;32;land;4025.81;45.67
prv-000275;56;236;235;land;4039.19;51.45
prv-000276;164;210;103;land;4094.15;44.42
