territory_id;R;G;B;territory_type;x;y
ter-000001;121;131;193;land;3201.92;147.62
ter-000002;214;66;27;land;5307.42;219.32
ter-000003;207;21;45;land;2416.23;96.73
ter-000004;185;241;225;land;5361.96;183.91
ter-000005;171;206;5;land;1227.1;618.8
ter-000006;113;137;132;land;4795.11;1626.85
ter-000007;241;160;175;land;2291.12;49.06
ter-000008;184;83;60;land;3563.55;557.27
ter-000009;107;222;246;land;2191.29;1224.0
ter-000010;198;244;67;land;4694.9;207.09
ter-000011;34;32;204;land;4382.28;275.09
ter-000012;156;64;249;land;4130.08;335.48
ter-000013;229;221;209;land;3502.65;1454.07
ter-000014;38;212;167;land;1265.94;147.96
ter-000015;238;177;180;land;3503.2;678.4
ter-000016;137;145;210;land;3702.28;148.61
ter-000017;189;216;27;land;2748.46;725.8
ter-000018;228;102;54;land;4342.04;477.64
ter-000019;150;107;91;land;5532.68;1788.78
ter-000020;228;71;66;land;1685.49;515.96
ter-000021;77;199;98;land;1708.81;255.09
ter-000022;197;93;168;land;4069.77;1066.44
ter-000023;9;177;108;land;2965.0;858.63
ter-000024;97;84;192;land;2603.83;814.33
ter-000025;129;41;218;land;4510.6;492.39
ter-000026;220;125;141;land;1174.94;858.54
ter-000027;0;178;54;land;3485.47;411.73
ter-000028;170;218;56;land;4812.55;469.75
ter-000029;239;12;153;land;2807.48;1028.19
ter-000030;27;60;193;land;1861.12;1409.73
ter-000031;140;231;126;land;1783.2;1388.09
ter-000032;224;41;219;land;4863.3;454.89
ter-000033;225;113;97;land;3452.93;1012.52
ter-000034;16;1;30;land;4642.31;125.99
ter-000035;26;86;211;land;3438.68;314.79
ter-000036;98;46;108;land;4293.29;629.92
ter-000037;40;180;161;land;4196.81;191.89
ter-000038;63;124;82;land;5305.2;1348.4
ter-000039;250;128;59;land;4143.39;505.15
ter-000040;143;186;5;land;5444.25;85.66
ter-000041;170;244;212;land;1260.72;417.69
ter-000042;22;198;167;land;4140.06;488.64
ter-000043;129;166;102;land;3887.28;444.67
ter-000044;170;31;209;land;1661.24;1911.92
ter-000045;236;146;187;land;2108.28;37.24
ter-000046;128;231;56;land;1314.44;203.89
ter-000047;24;189;139;land;3079.76;193.3
ter-000048;33;99;127;land;4112.61;454.26
ter-000049;10;92;218;land;3457.29;269.92
ter-000050;200;201;182;land;4420.96;1119.52
ter-000051;98;241;239;land;3116.01;1276.7
ter-000052;246;157;65;land;1204.8;435.98
ter-000053;193;2;173;land;1479.82;927.13
ter-000054;79;56;77;land;3997.86;267.11
ter-000055;246;213;186;land;1606.15;888.72
ter-000056;93;185;101;land;3908.21;204.65
ter-000057;16;175;209;land;3501.16;963.56
ter-000058;130;79;145;land;377.16;102.54
ter-000059;201;150;190;land;4782.23;1430.48
ter-000060;44;83;100;land;3095.3;774.09
ter-000061;108;95;192;land;4387.4;1107.08
ter-000062;114;155;145;land;4531.92;703.57
ter-000063;116;143;235;land;2685.92;525.32
ter-000064;130;241;220;land;1508.5;901.0
ter-000065;44;12;152;land;1940.07;1267.09
ter-000066;241;236;65;land;3954.57;334.2
ter-000067;200;106;143;land;3865.56;136.99
ter-000068;124;123;139;land;3229.17;798.22
ter-000069;13;148;172;land;4983.48;1611.89
ter-000070;165;97;82;land;3373.32;1181.7
ter-000071;243;64;120;land;1715.69;1167.89
ter-000072;243;214;153;land;1617.22;1356.58
ter-000073;209;126;200;land;1731.88;1809.45
ter-000074;50;228;95;land;4335.36;872.31
ter-000075;169;54;51;land;3836.8;627.88
ter-000076;144;206;120;land;4775.48;1029.06
ter-000077;15;201;162;land;3859.29;784.28
ter-000078;187;107;48;land;249.57;205.25
ter-000079;27;235;227;land;1344.48;6.23
ter-000080;232;188;0;land;105.25;1462.25
ter-000081;14;111;10;land;1763.29;1096.44
ter-000082;183;255;167;land;737.83;201.51
ter-000083;191;81;141;land;4894.27;446.31
